asset_number,title,original_department,added_department
879,,,
880,Cellometer,QC,
881,Thermo Fisher Lumiwell Test Plate,QC,
882,-80 Freezer,PD,
883,Tru Bio Bioreactor Delta V Control System,MF,
884,Hyclone sub 250 Single Use Bioreator,MF,
885,Hyclone Sub 1000L Single Use Bioreactor,MF,
887,6' Biosafety Cabinet,,
888,Shaker,,MF
889,Centrifuge,,
891,Sartorius Biowelder,,
892,KMP Pump,PD,
894,Lauda 250L Temperature Control Unit,MF,
895,Matrix Equalizer 8-Channel Pipette 1250 uL,,
896,VWR 2-20 uL Pipette,,
897,VWR 0.5-10 uL Pipette,,
898,Rainin Pipet-Lite 0.5-10 uL,,
899,Rainin Pipet-Lite 10-100 uL,AD,
900,Rainin Pipet-Lite 20-200 uL,,
901,Rainin Pipet-Lite 2-20 uL,,
903,VWR 2-20 uL Pipette,,
904,VWR 10-100 uL Pipette,,
905,VWR 0.5-10 uL Pipette,,
906,VWR 20-200 uL Pipette,BD,
907,VWR 0.1-2 uL Pipette,,
908,VWR 2-20 uL Pipette,,
909,VWR 10-100 uL Pipette,,
910,VWR 100-1000 uL Pipette,,
911,VWR P20 Pipette,,
912,VWR P200 Pipette,,
913,VWR P10 Pipette,,
914,VWR P1000 Pipette,,
915,Eppendorf Repeater Plus,,
916,VWR 100-1000 uL Pipette,FORM,
917,VWR 2-20 uL Pipette,FORM,
921,VWR 20-200 uL Pipette,,
922,VWR 2-20 uL Pipette,,
923,VWR 100-1000 uL Pipette,,
924,VWR 2-20 uL Pipette,,
925,VWR 100-1000 uL Pipette,,
926,VWR 20-200 uL Pipette,,
927,Eppendorf 0.1-2.5 uL Pipette,,
930,Eppendorf 10-100 uL Pipette,,
932,Eppendorf 100-1000 uL Pipette,,
934,Eppendorf 0.5-10 uL Pipette,AD,
935,VWR 2-20 uL Pipette,,
936,VWR Multi-Channel Pipette,PD,
937,VWR 0.1-2 uL Pipette,,
938,VWR P200 Pipette,,
939,VWR P20 Pipette,,
940,VWR P1000 Pipette,,
941,VWR 0.5-10 uL Pipette,,
942,VWR 0.1-2 uL Pipette,BD,
944,Tecan Infinite M200 Luminometer,BD,
945,Revco -20°C Freezer,QC,
946,Revco -80°C Freezer,QC,
949,Binder Temperature Conrolled Incubator,QC,
952,Cedex,,
959,Centrifuge,QC,
960,ASTM Weight Set,BD,
962,VWR Digital Water Bath,BD,
967,Biohit 12-Channel Pipettor,BD,
969,,PD,
970,Biohit Pipette 5-100 uL,BD,
971,Biohit Pipette 30-300 uL,BD,
972,Biohit Pipette 0.5-10 uL,BD,
974,Biohit Pipette 20-200 uL,BD,
975,Biohit Pipette 100-1000 uL,BD,
976,EMD Air Sampler,QC,
977,Climet Non-Viable Air Particle Counter,QC,
978,EMD Air Sampler,QC,
979,Milliflex Pump,QC,
980,EMD Viable Air Sampler,QC,
981,EMD Viable Air Sampler,QC,
982,VWR Pipette 2-20 uL,,
983,VWR Pipette 20-200 uL,,
984,VWR Pipette 0.5-10 uL,,
985,VWR Pipette 100-1000 uL,,
986,VWR Pipette 2-20 uL,,
987,VWR Pipette 10-100 uL,,
988,Carbon Dioxide Gas Supply System with Manifold; Supply Piping & Valving,EN,
989,Oxygen Gas Supply System with Manifold; Supply Piping & Valving,EN,
990,Compressed Air System Including Compressor; Dryer; Filter; Air Receiver & Dist System,,
991,Matrix Multi-Channel Pipettor 50-1000 uL,,
992,Watson Marlow Pump,,
993,Watson Marlow Pump,,
994,Watson Marlow Pump,,
995,VWR Digital Water Bath,,MF
996,120V Pipetus Pipet Gun,,
997,120V Pipetus Pipet Gun,,
998,PH Benchtop Meter,,
999,Test Server,IT,
1000,Production Server,IT,
1005,Water Purification System,QC,
1006,AirGas Regulator,,MF
1007,AirGas Regulator,,MF
1008,AirGas Regulator,,MF
1009,AirGas Regulator,,MF
1010,AirGas Regulator,,MF
1011,AirGas Regulator,,MF
1012,AirGas Regulator,,MF
1013,AirGas Regulator,,MF
1014,AirGas Regulator,,MF
1015,AirGas Regulator,,MF
1016,AirGas Regulator,,MF
1017,AirGas Regulator,,MF
1018,AirGas Regulator,,MF
1019,AirGas Regulator,,MF
1020,AirGas Regulator,,MF
1021,Cold Room,MM,
1023,Benchtop Sterilizer/Autoclave,,
1024,CO2 Pressure Gauge,,MF
1026,Watson Marlow Pump,,
1027,Cedex Cell Counter,,
1028,Rainin 10-100 uL Pipette,QC,
1029,Rainin 100-1000 uL Pipette,QC,
1030,Labconco 6 ft. BSC; Type A2,,
1031,,PD,
1032,,PD,
1034,-80°C Freezer,MM,
1038,Chart Recorder,MM,
1039,Master Flex Pump,,
1040,Master Flex Pump Head,,
1041,Finesse Mass Flow Controller Manifold,,
1042,Allegra X-12R Centrifuge,,MF
1046,Cleanroom HVAC System PRTU-1,,
1050,100-1000 uL Pipette,QC,
1051,Climet Particle Counter,QC,
1052,20-200uL Pipette,QC,
1053,-20 Freezer,,
1054,Refridgerator,,
1055,Electric Reheat Coil (RHC2-1),,
1056,Electric Reheat Coil (RHC 1-2),,
1057,Electric Reheat Coil (RHC 1-1),,
1058,Fan Powered Hepa (FPH1;1),,
1059,Electric Steam Humidifier (H-2),,
1060,Electric Humidifier (H-1),,
1061,Cleanroom HVAC System PRTU-3,,
1062,Cleanroom HVAC System PRTU-4,,
1063,Cleanroom HVAC Sytem PRTU-2,,
1064,Exhaust Fan (PEF-1),,
1065,Exhaust Fan (PEF-2),,
1066,-40°C Freezer,QC,
1068,Setra Differential Pressure Transmitter (DP1-1),,
1070,Setra Differential Pressure Transmitter (DP1-3),,
1071,Setra Differential Pressure Transmitter (DP1-4),,
1072,Setra Differential Pressure Transmitter (DP1-5),,
1073,Setra Differential Pressure Transmitter (DP1-6),,
1074,Setra Differential Pressure Transmitter (DP1-7),,
1075,Setra Differential Pressure Transmitter (DP1-8),,
1076,Setra Differential Pressure Transmitter (DP2-1),,
1077,Setra Differential Pressure Transmitter (DP2-2),,
1078,VWR Digital Heat Block,QC,
1080,Hot Water Reheat Coil (RHC4-1) associated with cleanroom HVAC system PRTU-4,,
1081,Hot Water Reheat Coil (RHC3-1) associated with cleanroom HVAC system PRTU-3,,
1082,Electric Steam Humidifier (H-4) Associated with Cleanroom HVAC System PRTU-4,,
1083,Electric Steam Humidifier (H-3) Associated with Cleanroom HVAC System PRTU-3,,
1084,Fan Powered HEPA (FPH1;4) associated with cleanroom HVAC system PRTU-4,,
1085,Fan Powered HEPA (FPH1;3) associated with cleanroom HVAC system PRTU-4,,
1086,Fan Powered HEPA (FPH1;2) associated with cleanroom HVAC system PRTU-3,,
1087,Exhaust Fan (PEF-3) associated with cleanroom HVAC PRTU-3,,
1088,Biohit Mline Mechanical Pipette 20-200uL,BD,
1089,Biohit Mline Mechanical Pipette 100-1000uL,BD,
1090,Biohit Mline Mechanical Pipette 2-20uL,BD,
1091,Biohit Mline Mechanical Pipette 0.5-10uL,BD,
1092,Differential Pressure Transmitter (DP4-1),,
1093,Differential Pressure Transmitter (DP4-2),,
1094,Differential Pressure Transmitter (DP3-1),,
1095,Differential Pressure Transmitter (DP3-3),,
1096,Differential Pressure Transmitter (DP3-4),,
1097,Fan Powered HEPA (FPH1;5),,
1098,Fan Powered HEPA (FPH-1;6),,
1099,Fan Powered HEPA (FPH-1;7),,
1100,Fan Powered HEPA (FPH-1;8),,
1101,Fan Powered HEPA (FPH-1;9),,
1102,Fan Powered HEPA (FPH-1;10),,
1103,Fan Powered HEPA (FPH-1;11),,
1104,Fan Powered HEPA (FPH-1;12),,
1105,Fan Powered HEPA (FPH-1;13),,
1106,Hot Lips Tube Sealer,,
1107,Monitor UVIS-920,,
1108,Monitor UVIS-920,,
1109,Chart Recorder,PD,
1110,Chart Recorder,,
1111,Chart Recorder,,
1112,Chart Recorder,,
1113,Conductivity Meter,,
1114,Conductivity Meter,,
1115,Symphony Benchtop PH Meter,,MF
1116,Symphony Benchtop PH Meter,,MF
1117,Floor Scale,,
1118,XP Series Precision Balance Table Top,,
1125,Timer,PD,
1128,Timer,PD,
1129,30cm Chromatography Column,,
1130,30cm Chromatography Column,,
1131,SB Series Top Loading High Capacity Balance,,
1132,0-5 Bar Pressure Monometer,MF,
1133,0-5 Bar Pressure Monometer,,MF
1134,UV Cell 8 MM Peek,,
1135,UV Cell 8MM Peek,,
1146,BSC 6ft,,
1147,BSC 6ft,,
1150,12-Channel Pipette 30-300 ul,BD,
1151,12- Channel Pipette 5-100 ul,BD,
1152,Pipette 100-1000 ul,BD,
1153,Pipette 20-200 ul,BD,
1154,Pipette 2-20 ul,BD,
1155,Pipette 2-20 ul,BD,
1156,Pipette 20-200 ul,BD,
1157,Pipette 100-1000 ul,BD,
1158,Pipette 5-100 ul,BD,
1159,Pipette 30-300 ul,BD,
1161,Pipette 200 ul,QC,
1162,Pipette 20 ul,QC,
1163,Pipette 100 ul,QC,
1164,Pipette 100 ul,QC,
1165,Pipette 100 ul,QC,
1166,Pipette 1000 ul,QC,
1167,Pipette 100 ul,QC,
1168,Pipette 10 ul,QC,
1169,Pipette 100 ul,QC,
1170,Pipette 2-20 ul,BD,
1171,Pipette 20-200 ul,BD,
1172,Pipette 100-1000 ul,BD,
1173,HPLC,QC,
1174,HPLC,QC,
1175,Pipette 100-1000 uL,PD,
1176,20-200 ul Pipette,,
1177,Hot Lips II Tube Sealer,,
1178,Bio-Rad Power Supply,,
1179,Standard Analog Shaker 3600,,
1183,250L Hyclone Single Use Bioreactor,,
1184,UV Cell 8MM Peek,,
1185,UV Cell 8MM Peek,,
1186,UV Cell 8MM Peek,,
1187,UV Cell 8MM Peek,,
1188,UV Cell 8MM Peek,,
1189,UV Cell 8MM Peek,,
1190,UV Cell 8MM Peek,,
1191,O2 Sensor Simulator,,
1192,O2 Sensor Simulator,PD,
1193,Pipette 2-20 ul,BD,
1194,Multi-Channel Pipette 5-100 ul,BD,
1195,Multi-Channel Pipette 30-300 ul,BD,
1197,Palltronic Flow Star II Integrity Tester,,
1198,Dry Bath,,
1199,Power Supply,,
1200,Stirrer Plate,PD,
1202,Pipette 50-300 ul,,
1203,Pipette 20-200 ul,,
1204,Hach Turbidimeter,EN,
1205,VWR Pressure Meter,EN,
1206,Pipette 20-200 ul,,
1207,Pipette 20-200 ul,AD,
1208,BSC,PD,
1209,Chart Recorder,PD,
1210,Capillary Electrophoresis System,QC,
1211,Centrifuge,QC,
1212,Microwave Oven,QC,
1213,12-Channel Pipette 30-300 ul,BD,
1214,12-Channel Pipette 30-300 ul,BD,
1215,Electroporation Apparatus,QC,
1216,Masterflex LDF Pump,,
1217,Spectrum Pump,,MF
1218,Incubating Orbital Shaker,QC,
1219,Nilfisk 6M80 HEPA Vacuum,EN,
1220,Chart Recorder,,
1221,250L Single Use Bioreactor,,
1222,Photostability Chamber,QC,
1223,128 Sidney Street GMP Production Area,EN,
1224,Sartorius Biowelder,,
1225,Cold Room Controller,,
1228,Light Microscope,QC,
1229,Orion 4 Star pH/Conductivity Meter,QC,
1230,Fume Hood,QC,
1237,100-1000 uL Pipette,PD,
1238,2-20 uL Pipette,PD,
1239,0.5-10 uL Pipette,,
1240,20-200 uL Pipette,PD,
1241,Dickson Temperature/Humidity Meter,EN,
1242,10-100 uL Pipette,,
1243,0.5-10 uL Pipette,,
1244,30-300 uL Pipette,,
1245,30-300 uL Multi-channel,,
1246,Matrix Impact 2 Pipette,,
1247,0.5-10 uL Pipette,,
1248,2-20 uL Pipette,,
1249,20-200 uL Pipette,,
1250,100-1000 uL Pipette,,
1251,1-5 mL Pipette,BD,
1252,100-1000 uL Pipette,,
1253,10-100 uL Pipette,,
1254,20-200 uL Pipette,,
1255,2-20 uL Pipette,,
1256,Pipette,,
1257,Pipette,,
1258,Pipette,,
1259,Pipette,,
1260,Pipette,,
1261,10-100 uL Pipette,,
1262,20-200 uL Pipette,,
1263,100-1000 uL Pipette,,
1264,2-20 uL Pipette,,
1265,Biohit M10 Pipette,AD,
1266,100-1000 uL Pipette,,
1267,20-200 uL Pipette,,
1268,20-200 uL Pipette,,
1269,100-1000 uL Pipette,,
1270,2-20 uL Pipette,,
1271,Multi-Channel Pipette,,
1272,Biohit Pipette,,
1273,Biohit Pipette,,
1274,Biohit Pipette,,
1275,Biohit Pipette,,
1276,P-100 Pipette,,
1277,Pipette,,
1278,Pipette,,
1279,2-20 uL Pipette,,
1280,20-200 uL Pipette,,
1281,0.2-2 uL Pipette,,
1282,100-1000 uL Pipette,,
1283,2-20 uL Pipette,,
1284,100-1000 uL Pipette,,
1285,20-200 uL Pipette,,
1286,5-50 uL Pipette,,
1287,0.5-10 uL Pipette,BD,
1288,100-1000 uL Pipette,FORM,
1289,10-100 uL Pipette,FORM,
1290,10-100 uL Pipette,FORM,
1291,2-20 uL Pipette,,
1292,2-20 uL Pipette,FORM,
1293,100-1000 uL Pipette,FORM,
1294,100-1000 uL Pipette,FORM,
1295,0.5-10 uL Pipette,FORM,
1296,Multi-channel Pipette,,
1297,P20 Pipette,,
1298,P2 Pipette,,
1299,P200 Pipette,,
1300,P1000 Pipette,,
1301,P20 Pipette,,
1302,100-1000 uL Pipette,,
1303,20-200 uL Pipette,,
1304,P200 Pipette,,
1305,Pipette,AD,
1306,Pipette,,
1307,Pipette,PD,
1308,Pipette,,
1309,Pipette,PD,
1310,Pipette,,
1311,Pipette,AD,
1312,Pipette,,
1313,Pipette,,
1314,Pipette,,
1315,Pipette,,
1316,0.5-10 ul Pipette,AD,
1317,Pipette,,
1318,Pipette,,
1319,Pipette,,
1320,Pipette,,
1321,Pipette,,
1322,Pipette,,
1324,20-200 uL Pipette,,
1331,0.1-2 uL Pipette,AD,
1332,20-200 uL Pipette,AD,
1333,100-1000 uL Pipette,AD,
1334,2-20 uL Pipette,AD,
1335,100-1000 uL Pipette,,
1336,2-20 uL Pipette,,
1337,Pipette,,
1338,Pipette,,
1339,Pressure Gauge,EN,
1340,Liquid Nitrogen Level Monitor,QC,
1349,PH/DO Meter,,MF
1350,Analytical Balance,QC,
1351,Karl Fisher Oven Sample Processor,QC,
1352,Karl Fisher Coulometer with Reagent Exchange & Magnetic Stirrer,QC,
1354,Incubating Orbital Shaker,QC,
1355,5' Fume Hood,QC,
1356,Wave 20/50 Bioreactor,,
1358,VWR Digital Block Dry Heater,QC,
1363,Temperature/Humidity Data Logger,EN,
1364,Temperature/Humidity Data Logger,EN,
1365,Temperature/Humidity Data Logger,EN,
1366,Temperature/Humidity Data Logger,EN,
1367,GTI Minimatcher Series MM-2e Color Matching,QC,
1374,Temperature Recorder,BD,
1375,Temperature Recorder,QC,
1386,,PD,
1388,Balance,PD,
1389,Thermometer,PD,
1393,Thermometer,PD,
1397,pipette,BD,
1398,pipette,BD,
1399,pipette,BD,
1400,Pipette,BD,
1401,pipette,BD,
1402,Pipette,BD,
1403,Pipette,BD,
1404,pipette,BD,
1405,pipette,BD,
1406,pipette,BD,
1426,37C Incubator; 5% CO2,QC,
1427,37C Incubator; 5% CO2,QC,
1433,Tabletop Inspection Hood,QC,
1434,-80 Freezer,,
1436,25C Binder Incubator,,
1437,Incubator,,
1438,Incubator,,
1439,Incubator,,
1440,Airgas Pressure Gauge 0-30 psi,QC,
1442,Heating/Drying Oven with Forced Convection,QC,
1443,Temperature/Humidity Data Logger,EN,
1444,Temperature/Humidity Data Logger,EN,
1445,Temperature/Humidity Data Logger,EN,
1446,Temperature/Humidity Data Logger,EN,
1447,Temperature/Humidity Data Logger,EN,
1448,Temperature/Humidity Data Logger,EN,
1449,Temperature/Humidity Data Logger,EN,
1450,Temperature/Humidity Data Logger,EN,
1451,Temperature/Humidity Data Logger,EN,
1452,Temperature/Humidity Data Logger,EN,
1453,Pipet Lite,AD,
1454,10-100 ul Pipette,,
1455,Matrix Impact 2 Pipette,,
1456,0.1 - 2 ul Pipette,,
1457,0.5 - 10 ul Pipette,,
1458,10 - 100 ul Pipette,,
1459,20-200 ul Pipette,,
1460,100-1000 ul Pipette,,
1461,20-200 ul Pipette,,
1462,20-200 ul Pipette,,
1463,100-1000 ul Pipette,,
1464,2-20 ul Pipette,,
1465,20-200 ul Pipette,,
1466,20-200 ul Pipette,,
1467,2-20 ul Pipette,,
1468,100-1000 ul Pipette,,
1469,0.1-2 ul Pipette,,
1470,20-200 ul Pipette,,
1471,2-20 ul Pipette,,
1472,Spectrophotometer Cell; Cuvette Set,QC,
1473,RTU-4,,
1474,RTU-7 Air Handler,,
1475,RTU-7 Condenser,,
1476,AC-1 Air Handler,,
1477,AC-1 Condenser,,
1478,AC-2 Air Handler,,
1479,AC-2 Condenser,,
1480,UV-Visible Spectrophotometer,AD,
1481,Balance,AD,
1485,Sci Pres Monitor,,
1486,HPLC,AD,
1487,HPLC,AD,
1488,HPLC,AD,
1489,HPLC,AD,
1490,HPLC,,
1491,HPLC,,
1492,HPLC,PD,
1495,"""Scilog """"Scilon"""" Conductivity Meter""",,
1502,Dry Block Thermometer,QC,
1503,MAS-100NT Air Sampler,QC,
1505,Exhaust Fan (PEF-4) associated with RTU-4,,
1506,Powered Fan (FP-7-8) associated with RTU-4,,
1507,Powered Fan (FP-1-9) associated with RTU-4,,
1508,Powered Fan (FP-5-14) associated with RTU-4,,
1509,Powered Fan (FP-15) associated with RTU-4,,
1510,Powered Fan (FP-14) associated with RTU-4,,
1511,Powered Fan (FP-8-7) associated with RTU-4,,
1512,Powered Fan (FP-13) associated with RTU-4,,
1513,VAV (VAV-5) associated with RTU-4,,
1514,VAV (VAV-19) associated with RTU-4,,
1515,Refrigerated Incubator,QC,
1517,Millipore Pod Millistack Pod,PD,
1518,Millipore Millistak POD,,
1519,Capillary Electrophoresis System,QC,
1520,Climet Non-Viable Air Particle Counter,QC,
1521,QC Changing / Sampling Room 253,QC,
1522,RT-PCR Apparatuis BIORAD CFX Connect,,
1523,Mechanical Pipettor Multi-Channel (8),,
1524,Mechanical Pipettor Multi-Channel (12),,
1525,Mechanical Pipettor Biohit Multi-Channel (8),,
1526,Mechanical Pipettor VWR Single Channel,,
1527,Mechanical Pipettor VWR Single Channel,,
1528,Mechanical Pipettor VWR Single Channel,,
1529,Conductivity Meter,,
1530,Conductivity Meter,,
1538,Chemi Doc MP Imaging System,,
1542,Versamax Plate Reader,,
1546,Timer,PD,
1547,Timer,PD,
1561,Mass Flow Controller,,
1562,Mass Flow Controller,,
1563,Analog Orbital Shaker,QC,
1564,Spectrophotometer Cell; Cuvette Set,QC,
1565,Milliflex PLUS Pump,QC,
1566,Pressure Gauge 0-30 psi,QC,
1568,Balance,,
1569,Endosafe PTS,QC,
1570,25 uL Fixed Volume Pipette,QC,
1571,Sonicator,QC,
1575,Temp/RH Transmitter,,
1576,Temp/RH Transmitter,,
1577,Temp/RH Transmitter,,
1578,Temp/RH Transmitter,,
1581,Timer,PD,
1582,Air Compressor,,
1584,Timer,BD,
1585,Timer,BD,
1586,pH Meter,QC,
1587,Mass Flow Controller for the 250L Single Use Bioreactor,,
1588,Mass Flow Controller for 1000L Single Use Bioreactor,,
1589,Traceable Timer,,
1590,Traceable Timer,,
1591,Traceable Timer,,
1592,Traceable Timer,,
1593,Base 20/50 EHT - CO2 - L (100-120V) Wave,MF,
1594,i-Stat Handheld Chemical Analyzer,,
1595,Krosflo Minikros Pilot Pump,,MF
1596,Traceable Timer,,
1597,Traceable Thermometer,,
1598,Traceable Thermometer,,
1599,Traceable Thermometer,,
1600,Traceable Thermometer,,
1601,-80C Freezer,QC,
1602,MESO QuickPlex SQ 120,BD,
1603,Spectrum Pump,,
1604,Spectrophotometer Cell; Cuvette Set,QC,
1606,-80C Freezer,AD,
1607,Traceable 4 Channel Digital Timer,QC,
1609,Traceable 4 Channel Digital Timer,QC,
1610,Traceable 4 Channel Digital Timer,QC,
1611,Traceable 4 Channel Digital Timer,QC,
1612,Traceable 4 Channel Digital Timer,QC,
1613,Traceable 4 Channel Digital Timer,QC,
1614,Traceable 4 Channel Digital Timer,QC,
1615,Traceable 4 Channel Digital Timer,QC,
1616,Traceable 4 Channel Digital Timer,QC,
1617,Traceable 4 Channel Digital Timer,QC,
1618,Traceable 4 Channel Digital Timer,QC,
1619,Single Channel Pipette,,
1621,Weight Set; NIST Traceable 100-5mg,QC,
1623,-80C Freezer,MM,
1625,1625 Agilent 1260 Infinity HPLC,QC,
1626,4-Channel Digital Timer,,
1627,4-Channel Digital Timer,,
1628,4-Channel Digital Timer,,
1629,4-Channel Digital Timer,,
1630,30 cm Chromatography column,,
1631,30 cm Chromatography column,,
1632,30 cm Chromatography column,,
1634,"""Capillary Electrophoresis """"Patty""""""",AD,
1635,"""Capillary Electrophoresis """"Selma""""""",AD,
1636,pH Meter,AD,
1637,Micro Balance,AD,
1638,Large Balance,AD,
1639,Sartorius Biowelder TC,,
1640,Hot Lips Tube Sealer,,
1641,Vi-Cell XR,MF,
1642,Sci-con Conductivity Monitor,MF,
1643,SciLog Pressure Monitor,MF,
1644,"Bahco 3/8"" Torque Wrench",MF,
1645,Bench Top Centrifuge,AD,
1646,Bench Top Centrifuge,AD,
1647,VWR Pipetman 100-1000 µL,PB,
1648,VWR Pipetman 0.5-10 µL,PB,
1649,VWR Pipetman 100-1000 µL,PB,
1650,McMaster Carr Torque Wrench,MF,
1651,Kaye Low Temperature Reference -90 (LTR-90),EN,
1652,Mega Pure System MP-6A Glass Still,QC,
1653,45 cm Column BPG 450/500,MF,
1654,45 cm Column BPG 450/500,MF,
1655,"Freezer, -80",MM,
1658,Flow Meter,MF,
1659,Quattroflow Pump with Flow Meter function,MF,
1660,Quattroflow Pump,MF,
1661,Quattroflow Pump,MF,
1662,Flow Meter,MF,
1663,Sartocon Slice Plate and Frame,MF,
1664,Sartoflow Plate and Frame Holder ,MF,
1665,45cm Chomatography Column,MF,
1666,Thermometer,MF,
1667,Torque Wrench,MF,
1668,Torque Wrench,MF,
1669,Timer,MF,
1670,Long Stem Thermometer,MF,
1671,Temp and RH Transmitter (Rm 107),EN,
1672,Temp and RH Transmitter (Rm 111),EN,
1673,Temp and RH Transmitter (Rm 115),EN,
1674,Temp and RH Transmitter (Rm 117),EN,
1676,Mass Flow Controllers,MF,
1677,Timer,MF,
1678,Timer,MF,
1679,Timer,MF,
1680,Walk in Cold Room Rm247,QC,
1683,Wavelength Resolution Reference Material for UV & Visible Spectrophotometry,QC,
1684,Stray Light Reference Material for UV & Visible Spectrophotometry,QC,
1685,2-8 C Refrigerator,AD,
1686,-20 C Freezer,AD,
1687,Viable Air Sampler,QC,
1688,Balance Analytical Weight Set,AD,
1689,Mettler Toledo Floor Scale,MF,
1690,DDM2911 Densitometer,QC,
1691,Sartorius Stedim Biowelder,MF,
1692,2-8C Refrigerator,MF,
1694,Refridgerated Centrivap Concentrator,AD,
1696,Climet Particle Counter,QC,
1703,Timer,QC,
1708,Vi-Cell Cell Counter,MF,
1710,Unit Heater (UH-5),FAC,
1711,1290 Agilent HPLC,QC,
1713,32 kg Mettler Toledo Balance,MF,
1715,,,
1716,20-200 microliter pipet,AD,
1717,Light Meter Pen / Illuminance Meter,QC,
1718,100-1000 microliter pipet (Rainin),AD,
1720,10-100 microliter adjustable pipet,AD,
1723,Pipettor,PB,
1724,Pipettor,PB,
1725,Pipettor,PB,
1726,Pipettor,PB,
1727,Pipettor,PB,
1728,Pipettor,PB,
1729,Wave 25 Bioreactor Rocker,MF,
1730,Wave 25 Bioreactor Rocker,MF,
1734,4-Channel Digital Timer,MF,
1735,4-Channel Digital Timer,MF,
1737,Priorclave Compact 40 Autoclave,MF,
1738,Centrifuge MiniSpin,AD,
1739,Multichannel 1250ul pipette,QC,
1740,Multichannel 1250ul pipette,QC,
1741,Multichannel 1250ul pipette,QC,
1742,Multichannel 300ul pipette,QC,
1743,Multichannel 300ul pipette,QC,
1744,Multichannel 300ul pipette,QC,
1745,Oxygen Sensor,QC,
1746,1746: Pipettor,PB,
1747,1747: Pipettor,PB,
1748,1748: Pipettor,PB,
1749,1749: Pipettor,PB,
1750,1750: Pipettor,PB,
1751,1751: Pipettor,PB,
1752,1752: Pipettor,PB,
1753,Biowelder TC,MF,
1754,1754: Pipettor,PB,
1755,1755: Pipettor,PB,
1756,1756: Pipettor,PB,
1757,1757: Pipettor,PB,
1758,Digital Timer,MF,
1759,Digital Timer,MF,
1760,Digital Timer,MF,
1761,Digital Thermometer,MF,
1762,Long stem digital thermometer,MF,
1763,AD PA800 Plus CE,AD,
1764,AD Acuity UPLC Assaet Tag,AD,
1765,1765 - Pipettor,PB,
1766,1766: Pipettor,PB,
1767,1767: Pipettor,PB,
1768,1768: Pipettor,PB,
1769,1769: Pipettor,PB,
1770,1770: Pipettor,PB,
1771,1771: Pipettor,PB,
1772,1772: Pipettor,PB,
1773,1773: Pipettor,PB,
1774,1774: Pipettor,PB,
1775,1775: Pipettor,PB,
1776,1776: Pipettor,PB,
1777,Rees Scientific Environmental Monitoring System,EN,
1778,Light Meter Pen / Illuminance Meter,QC,
1779,Lauda Temperature Control Unit for 1000L SUB,MF,
1780,Unicorn software for Wave 25 System,MF,
1781,AD Fume hood,AD,
1782,Asset ID 1782 Biosafety Cabinet,PD,
1783,2-20 uL Pipette,PD,
1784,20-200 uL Pipette,PD,
1785,100-1000 uL Pipette,PD,
1786,0.2-2 uL Pipette,PD,
1787,50-1250 uL Pipette,PD,
1788,10-300 uL Pipette,PD,
1789,0.5-12.5 uL Pipette,PD,
1790,10-100 uL Pipette,FORM,
1791,2-20 uL Pipette,FORM,
1793,2-20 uL Pipette,PD,
1794,20-200 uL Pipette,PD,
1795,2-20 uL Pipette,PD,
1796,0.5-10 uL Pipette,PD,
1797,2-20 uL Pipette,PD,
1798,20-200 uL Pipette,PD,
1799,100-1000 uL Pipette,PD,
1800,500-5000 uL Pipette,PD,
1801,1000-5000 uL Pipette,PD,
1803,0.1-3 uL Pipette,PD,
1804,2-20 uL Pipette,PD,
1805,10-100 uL Pipette,PD,
1806,20-200 uL Pipette,PD,
1807,100-1000 uL Pipette,PD,
1808,500-5000 uL Pipette,PD,
1809,0.1-2.5 uL Pipette,PD,
1810,20-200 uL Pipette,PD,
1812,100-1000 uL Pipette,AD,
1813,0.1-2.5 uL Pipette,AD,
1815,20-200 uL Pipette,AD,
1816,1-50000 uL Pipette,PD,
1817,Calibrated Timer,MF,
1818,Calibrated Timer,MF,
1819,Calibrated Timer,MF,
1820,100-1000 uL Pipette,PD,
1821,20-200 uL Pipette,AD,
1822,0.5-10 uL Pipette,AD,
1823,0.1-2.5 uL Pipette,AD,
1824,2-20 uL Pipette,AD,
1825,500-5000 uL Pipette,AD,
1826,Kuhner Shaker Incubator,MF,
1827,Kuhner Shaker Incubator,MF,
1828,Viable Air Sampler,QC,
1829,Viable Air Sampler,QC,
1830,Tier 1 and Tier 2 Electrical Power Grid for 128 Sidney St,FAC,
1831,Scilog Conductivity Monitor,MF,
1832,LABS-20K Cryofreezer,QC,
1833,Timer,QC,
1834,Timer,QC,
1835,Timer,QC,
1836,Timer,QC,
1837,Timer,QC,
1838,Timer,QC,
1839,Timer,QC,
1840,Timer,QC,
1841,Timer,QC,
1842,Timer,QC,
1843,Timer,QC,
1844,Timer,QC,
1845,SciLog SciPres Monitor,MF,
1846,Advance Dry Block Heater,QC,
1847,Advanced Dry Heat Block,QC,
1848,SoloVPE Spectrophotometer,QC,
1849,Pyros Kinetix Flex Tube Reader,QC,
1850,HVAC System RTU-4 AHU,FAC,
1869,MasterFlex Peristaltic Pump for Use in 111,,MF
1870,MasterFlex Peristaltic Pump for Use in 111,,MF
